J0957.6+5523 158.5922 47.92883 9.586312e-11 2.7338865e-12 * * *
J1119.9-2204 276.46957 36.058777 1.6846436e-11 1.0320871e-12 * * *
J1136.1-7411 297.7769 -12.085619 1.1183944e-11 1.1839145e-12 * * *
J1225.9+2953 185.15211 83.764755 8.696945e-12 9.729786e-13 * * *
J1306.4-6043 304.76846 2.0864322 3.512334e-11 2.504402e-12 * * *
J1329.8-6109 307.55142 1.3645252 1.6474464e-11 2.3898897e-12 * * *
J1400.5-1437 326.92914 45.008724 9.355981e-12 1.0933417e-12 4.93 3.6 1.1
J1528.3-5836 322.17087 -1.7236029 1.24737165e-11 1.2924469e-12 * * *
J1539.2-3324 338.75925 17.534199 1.156271e-11 1.0284132e-12 * * *
J1544.6-1125 356.21112 32.984398 1.3544441e-11 1.4034212e-12 * * *
J1616.8-5343 330.47452 -2.2176933 2.647991e-11 2.620417e-12 * * *
J1625.1-0021 13.880847 31.837814 1.8380434e-11 1.2637401e-12 * * *
J1630.2-1052 4.906958 24.781755 6.7069427e-12 1.3242112e-12 * * *
J1641.5-5319 333.29584 -4.6020737 1.8415902e-11 2.2412562e-12 * * *
J1653.6-0158 16.618132 24.924627 3.371353e-11 1.832225e-12 * * *
J1702.8-5656 332.3978 -9.24466 3.2037328e-11 1.6614592e-12 * * *
J1717.6-5802 332.6354 -11.503227 1.2386301e-11 1.2966455e-12 * * *
J1722.7-0415 18.494955 17.516644 1.2326708e-11 2.0790587e-12 * * *
J1730.6-0357 19.803669 15.965684 6.4358094e-12 1.252523e-12 * * *
J1740.5-2642 1.3043522 2.1229243 1.6765528e-11 2.5120633e-12 * * *
J1743.9-1310 13.335881 8.479903 8.226123e-12 1.7850588e-12 * * *
J1749.7-0305 22.979467 12.217245 1.2835624e-11 1.8785932e-12 * * *
J1753.6-4447 347.0854 -9.416424 9.3649906e-12 1.2765955e-12 * * *
J1827.7+1141 40.781555 10.517796 7.5681275e-12 1.3140407e-12 * * *
J1830.8-3136 2.3540108 -9.841611 6.772461e-12 1.3490137e-12 * * *
J1908.8-0130 33.56235 -4.556341 7.1227286e-12 9.362515e-13 * * *
J1918.2-4110 356.7957 -22.239529 2.161379e-11 1.8629356e-12 * * *
J1950.2+1215 50.650112 -7.117476 1.6129873e-11 1.7521027e-12 * * *
J2004.4+3338 70.671234 1.1853596 4.307105e-11 2.7879094e-12 * * *
J2006.6+0150 43.44295 -15.781996 4.1703438e-12 1.0239649e-12 * * *
J2026.8+2813 68.84238 -5.823447 7.657951e-12 1.4954163e-12 * * *
J2035.0+3634 76.63331 -2.3154814 1.23189e-11 1.8213354e-12 * * *
J2039.6-5618 341.2312 -37.15509 1.7114027e-11 1.3793856e-12 * * *
J2112.5-3044 14.898448 -42.44867 1.9007943e-11 1.3850902e-12 * * *
J2117.6+3725 82.798195 -8.273714 1.27589085e-11 1.3138101e-12 * * *
J2133.0-6433 328.73895 -41.26828 3.9666386e-12 6.6601135e-13 * * *
J2212.5+0703 68.74286 -38.564964 9.03272e-12 1.0328096e-12 * * *
J2250.6+3308 95.658195 -23.257095 5.2667154e-12 8.702709e-13 * * *

